experiment,strategy,data_fraction,data_percent,num_training_samples,full_training_samples,classes_represented,num_classes,class_coverage,imbalance_ratio,normalization_time_seconds,training_time_seconds,validation_time_seconds,total_wall_time_seconds,epochs_completed,best_epoch,best_val_accuracy,best_val_macro_f1,train_loss_at_best,train_accuracy_at_best,final_train_loss,final_train_objective,final_train_accuracy,final_val_loss,final_val_accuracy,final_val_macro_f1,image_size,patch_size,embed_dim,num_heads,num_blocks,mlp_ratio
nonuniform_010pct,nonuniform,0.1,10.0,4000,40000,100,100,1.0,10.0,94.76140800002031,2424.645924899727,3149.783753100317,5575.493989000097,20,19,0.1162,0.09128842524923007,3.0812774772644045,0.25,3.063974193572998,3.3283096981048583,0.26225,4.126097632217407,0.116,0.09125610626146807,64,16,256,4,3,4
nonuniform_025pct,nonuniform,0.25,25.0,10000,40000,100,100,1.0,4.113636363636363,104.1326323999092,3305.48530059983,2043.9376092003658,5350.101110999938,20,18,0.1462,0.12140310055720618,3.116079541015625,0.2443,3.0567813793182372,3.324208349609375,0.2606,3.7851517574310303,0.1458,0.12167328661577174,64,16,256,4,3,4
uniform_010pct,uniform,0.1,10.0,4000,40000,100,100,1.0,1.0,73.43193129985593,2168.8098352998495,2883.216213500127,5053.06905140006,20,19,0.1205,0.1064033634865638,3.216892234802246,0.2225,3.1752269649505616,3.421792694091797,0.227,4.032804842376709,0.1191,0.10483937503979311,64,16,256,4,3,4
uniform_025pct,uniform,0.25,25.0,10000,40000,100,100,1.0,1.0,242.52108859992586,3385.82169719995,1854.423511099536,5240.84603240015,20,19,0.1566,0.14043840225669268,3.196438786315918,0.2309,3.158485037612915,3.4109286514282227,0.2345,3.724824199295044,0.1549,0.1393655342113971,64,16,256,4,3,4
uniform_050pct,uniform,0.5,50.0,20000,40000,100,100,1.0,1.0,547.2752718001138,5963.714378100121,3336.597681599669,9300.814330500085,20,19,0.2026,0.18766338004278546,2.9860152141571046,0.2717,2.968392628097534,3.251330339050293,0.2752,3.4275320899963377,0.2009,0.18569863138662876,64,16,256,4,3,4
