epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_training_time_seconds,epoch_validation_time_seconds
1,4.787340756225586,4.817003404998779,0.0293,4.489881167602539,0.0418,0.021945274390782483,70.27846379997209,86.61557599995285
2,4.315890926361084,4.384679262542725,0.0582,4.313298757934571,0.0664,0.033876442065642644,106.8143680000212,62.921577899949625
3,4.162463292312622,4.256397975158691,0.0824,4.257221938323974,0.0699,0.04261596224223377,109.4352597000543,62.906175300013274
4,4.070981279754639,4.180112335968017,0.0913,4.1544455085754395,0.0856,0.052930563023327076,109.13177039986476,71.74674169998616
5,4.007158242034912,4.127841510772705,0.0967,4.123757817077637,0.0889,0.05527787552742703,106.19534450001083,63.579294099938124
6,3.932912516784668,4.066370791625976,0.1121,4.096337612915039,0.0889,0.06421942308732065,114.79671099991538,64.41522490000352
7,3.873030657196045,4.015197878265381,0.117,4.019762718200684,0.1031,0.07449975489113866,108.34933989983983,77.17970239999704
8,3.7877270515441896,3.9438697021484375,0.1291,4.005167496109009,0.1076,0.07478566986395531,105.61348719988018,64.01804869994521
9,3.744116862487793,3.9071568588256835,0.1368,3.9612092082977295,0.1123,0.08468031288900998,105.92725299997255,63.645193099975586
10,3.6812323173522947,3.8542908988952638,0.1437,3.92544578666687,0.1183,0.09031575741727674,108.22823060001247,162.53988970001228
11,3.6021965309143065,3.7874576736450196,0.1634,3.901283150100708,0.1223,0.0954455734565464,180.07655030000024,64.2183552000206
12,3.5450632556915282,3.7398845695495604,0.1702,3.9074182056427,0.1204,0.09883276955734804,109.9271510001272,63.36460780003108
13,3.4687152442932128,3.676175820159912,0.1777,3.847606981277466,0.1276,0.10193620021856793,103.96098090009764,61.927500300109386
14,3.390681076812744,3.60940016708374,0.1955,3.8318269504547118,0.1319,0.10445335053586786,101.67887430009432,61.17412910005078
15,3.3241043663024903,3.55216432762146,0.2034,3.844869292831421,0.135,0.11078924417526956,103.93402029993013,63.228664399823174
16,3.226665900802612,3.469542362976074,0.2244,3.806683539581299,0.1402,0.11777013002075926,222.70699229999445,163.32428210019134
17,3.180283792114258,3.4307980026245115,0.2376,3.791832512664795,0.1436,0.11943569176676695,319.45702470000833,164.8557301000692
18,3.116079541015625,3.374692979431152,0.2443,3.7940461277008057,0.1462,0.12140310055720618,338.86646010004915,190.10915450006723
19,3.085964834213257,3.3494776008605958,0.2528,3.7856499618530273,0.1459,0.12091288069535949,395.70199829991907,251.66286030015908
20,3.0567813793182372,3.324208349609375,0.2606,3.7851517574310303,0.1458,0.12167328661577174,384.4050203000661,180.5049016000703
