epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_training_time_seconds,epoch_validation_time_seconds
1,4.851571566009522,4.872887886047363,0.0195,4.426331833648682,0.049,0.027590406015470345,187.6523418999277,122.36911690002307
2,4.391938662719727,4.447592505645752,0.0466,4.267368375396728,0.0642,0.03827691526224063,156.74834579997696,147.87358959997073
3,4.238559561538696,4.31956237487793,0.0619,4.205158755493164,0.0714,0.04649739162175018,117.49882719991729,66.16032040002756
4,4.168105773162842,4.261847831726074,0.0709,4.120446673965454,0.0792,0.05855720364895374,161.97494139987975,66.506302600028
5,4.097075994110107,4.203105173492432,0.0792,4.074620664978028,0.0878,0.059566991676133024,234.4698926000856,63.15843259985559
6,4.022561775970459,4.142078200149536,0.095,4.049974969482422,0.0916,0.06714798774667845,204.01535729994066,65.4754607998766
7,3.9555933433532715,4.085408419799805,0.0991,3.9716313529968263,0.1026,0.07984899615315812,111.4034584001638,97.63855429994874
8,3.8933695304870604,4.033356114959717,0.1077,3.9412399913787843,0.1095,0.07892369990223919,164.78993109986186,115.5359310999047
9,3.8375035835266114,3.986714479827881,0.1199,3.910799819946289,0.1165,0.08823613806458427,219.46037930017337,187.12148530012928
10,3.7717510292053222,3.9309953338623047,0.1244,3.9001230934143067,0.1141,0.09525507268945875,195.2010359999258,64.86724409996532
11,3.7117956550598143,3.8803121070861817,0.1325,3.846265584564209,0.1255,0.10395913365397334,346.2372733000666,190.8353194000665
12,3.6369579231262206,3.8174609481811523,0.1469,3.83003324508667,0.1312,0.11365284726533488,389.67881030007266,136.4835854000412
13,3.5620724636077883,3.754889588546753,0.1616,3.8226239112854006,0.1366,0.1220322126328373,116.99655299982987,64.92780749988742
14,3.4961776138305662,3.6995889980316163,0.1689,3.7830768676757813,0.1422,0.1276469089877586,115.450630400097,64.56132510001771
15,3.4211084869384765,3.634769158935547,0.1877,3.7713962882995604,0.1437,0.130949455015848,109.46205969993025,64.87635729997419
16,3.3327553985595704,3.5595062286376953,0.206,3.762401947402954,0.1498,0.13655472148977565,111.04796640016139,66.29033999983221
17,3.267275210571289,3.5037186946868895,0.2179,3.736407769775391,0.1514,0.13536448840129078,111.49068819987588,75.39132099994458
18,3.2128611324310303,3.457322494506836,0.2243,3.7250314426422118,0.1552,0.14057179289799696,111.73456089990214,65.03095680009574
19,3.196438786315918,3.4431989639282228,0.2309,3.726592623901367,0.1566,0.14043840225669268,110.25640509999357,64.34328939998522
20,3.158485037612915,3.4109286514282227,0.2345,3.724824199295044,0.1549,0.1393655342113971,110.25223890016787,64.97677149996161
