epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_training_time_seconds,epoch_validation_time_seconds
1,5.016522018432617,5.027818637847901,0.0165,4.606200899505615,0.0357,0.020490987578495514,54.74830069998279,309.71258000005037
2,4.540877193450927,4.58245193862915,0.0335,4.394725686645508,0.049,0.025282281721033924,130.29214349994436,69.32762759993784
3,4.364363307952881,4.425488636016846,0.04775,4.318085679626465,0.0563,0.03326784290113484,45.08704310003668,68.42671529995278
4,4.263830640792847,4.342907127380371,0.057,4.2800190605163575,0.0575,0.03779459926901643,47.72572110011242,65.9600563000422
5,4.19567406463623,4.287687421798706,0.062,4.2485175170898435,0.0617,0.04027604553335503,73.00989379989915,165.32959050009958
6,4.136560523986817,4.2378519115448,0.06975,4.197067694091797,0.0782,0.05281483691420354,70.18157370015979,108.47769610001706
7,4.047285026550293,4.164702501296997,0.08725,4.158342374420166,0.0842,0.058647858209016406,134.64286460005678,150.99559629987925
8,3.9697583694458007,4.097943572998047,0.092,4.147440818405151,0.0845,0.06271643810943334,136.58588560018688,120.71046880003996
9,3.9236152057647704,4.0618472652435305,0.0965,4.121969007110596,0.0847,0.06930092181658515,135.5167835999746,165.05906210001558
10,3.8234051151275636,3.9753809547424317,0.112,4.069739416503906,0.0985,0.07644370288888501,133.58820279990323,168.75886170007288
11,3.7549573802947998,3.9185049018859863,0.1175,4.066892513275146,0.099,0.07965357674170864,139.36169299995527,172.96168539999053
12,3.686452226638794,3.8589379653930664,0.13375,4.062309337234497,0.1036,0.0842769866507509,132.0833721999079,161.94391879998147
13,3.620083616256714,3.804625886917114,0.13875,4.029029088592529,0.109,0.0905943745455287,129.99261690001003,110.18405809998512
14,3.5209615230560303,3.7190869789123537,0.1625,4.046953224182129,0.1112,0.096080575791544,41.27494729985483,62.18640669994056
15,3.4719543113708498,3.678090749740601,0.167,4.023199563598633,0.1124,0.09712822354865823,125.84185749990866,161.2696317001246
16,3.365715923309326,3.5856326084136962,0.19025,4.043216498184204,0.1165,0.10061884157863446,125.34812980005518,163.01225649984553
17,3.308686923980713,3.5373189487457277,0.2085,4.0292376693725585,0.1164,0.10327028155246337,128.93688199995086,164.1556643000804
18,3.21563907623291,3.4558404674530028,0.22475,4.038250680923462,0.1202,0.10450996615903776,129.49108740012161,165.05109319998883
19,3.216892234802246,3.4581735916137695,0.2225,4.033753285217285,0.1205,0.1064033634865638,126.36976209981367,164.7099083000794
20,3.1752269649505616,3.421792694091797,0.227,4.032804842376709,0.1191,0.10483937503979311,128.73107460001484,164.98333580000326
