epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_training_time_seconds,epoch_validation_time_seconds
1,4.934063533782959,4.956542015075684,0.0205,4.687035690307617,0.0326,0.01873590409001999,73.56169650005177,165.10071430006064
2,4.4129325466156,4.474772033691406,0.05325,4.48993555984497,0.0452,0.02216088502878688,128.43019419978373,154.56530439993367
3,4.234857412338257,4.3180444679260255,0.06725,4.433787879562378,0.0574,0.03288393565012116,128.6632413000334,161.72759830020368
4,4.148157970428467,4.247000852584839,0.08175,4.38837727470398,0.0606,0.03239101855011229,129.47009010007605,164.65359130012803
5,4.0731927680969235,4.1850518779754635,0.09475,4.322330085754395,0.0695,0.040628101869435884,128.8147925999947,162.83994020009413
6,3.997630292892456,4.121524391174316,0.10125,4.2850216831207275,0.0716,0.042118665379190574,129.53194399992935,164.76340040005744
7,3.9198711528778074,4.05538298034668,0.10775,4.266506503677368,0.0792,0.04527055588391279,127.29307400016114,163.62592449993826
8,3.8559373683929445,4.002764888763428,0.118,4.226026368713379,0.0802,0.05479234536416308,129.78753390000202,158.80660739983432
9,3.7938134841918947,3.950013635635376,0.1215,4.207945252990723,0.0863,0.05466963052215603,128.6510976999998,163.68867110018618
10,3.7056133995056153,3.874901554107666,0.1365,4.19558597869873,0.0941,0.0646940224140263,127.11710870009847,163.30818949989043
11,3.634384479522705,3.8160500926971435,0.15675,4.1724027862548825,0.095,0.06372183887455155,130.8703850999009,163.78905509994365
12,3.559584856033325,3.751982852935791,0.165,4.178981977462769,0.098,0.06857368272227977,127.95313409995288,164.05059770005755
13,3.4793458881378174,3.6839920902252197,0.17775,4.111069915008545,0.1064,0.08094046218677306,129.27733319997787,165.01882620016113
14,3.398959369659424,3.6149259185791016,0.1895,4.134248907470703,0.1061,0.07662194197322603,128.42727179988287,162.58870249986649
15,3.327507276535034,3.555744035720825,0.202,4.127288620758057,0.1109,0.08511838402062606,125.1137238999363,163.14802970015444
16,3.256120906829834,3.4944475708007814,0.2245,4.118043741607666,0.1121,0.0874892983963676,127.24114009994082,164.0793443999719
17,3.196453323364258,3.4437080001831055,0.22475,4.124676431274414,0.1127,0.08708646967278426,127.05385779985227,162.256029299926
18,3.121128723144531,3.3771817016601564,0.24675,4.130002651977539,0.1137,0.0892359700908001,128.07348120003007,165.07947949995287
19,3.0812774772644045,3.3432846813201906,0.25,4.123692809677124,0.1162,0.09128842524923007,115.13535460014828,67.71223810012452
20,3.063974193572998,3.3283096981048583,0.26225,4.126097632217407,0.116,0.09125610626146807,54.179470099974424,148.98150919983163
